Title,Short Intro,Full_Text,Category_Limpia,Sub-Category,Skills,URL
Machine Learning Specialization,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng","Machine Learning Specialization #BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",Data Science,Machine Learning,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, ",https://www.coursera.org/specializations/machine-learning-introduction
Introduction to Data Science Specialization,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Introduction to Data Science Specialization Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science. ,Data Science,Data Analysis,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, ",https://www.coursera.org/specializations/introduction-data-science
Data Science Fundamentals with Python and SQL Specialization,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.","Data Science Fundamentals with Python and SQL Specialization Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",Data Science,Data Analysis,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, ",https://www.coursera.org/specializations/data-science-fundamentals-python-sql
Key Technologies for Business Specialization,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Key Technologies for Business Specialization Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,Business,Business Essentials,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, ",https://www.coursera.org/specializations/key-technologies-for-business
Deep Learning Specialization,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Deep Learning Specialization Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,Data Science,Machine Learning,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, ",https://www.coursera.org/specializations/deep-learning
IBM & Darden Digital Strategy Specialization,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,IBM & Darden Digital Strategy Specialization Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,Data Science,Machine Learning,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, ",https://www.coursera.org/specializations/digital-strategy
IBM AI Foundations for Business Specialization,,IBM AI Foundations for Business Specialization ,Data Science,Machine Learning,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, ",https://www.coursera.org/specializations/ibm-ai-foundations-for-business
Data Analysis and Visualization Foundations Specialization,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.","Data Analysis and Visualization Foundations Specialization Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",Data Science,Data Analysis,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, ",https://www.coursera.org/specializations/data-analysis-visualization-foundations
Applied Data Science Specialization,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ","Applied Data Science Specialization Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",Data Science,Machine Learning,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, ",https://www.coursera.org/specializations/applied-data-science
Data Engineering Foundations Specialization,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ","Data Engineering Foundations Specialization Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",Information Technology,Data Management,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, ",https://www.coursera.org/specializations/data-engineering-foundations
